                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    121,                 2.7299,                 2.0763,                 2.8888,                0.38646,                0.16527,                0.10865,                0.04231,                 2.6867,                 2.6504,                 3.4014,             0.00069302,             0.00069302,             0.00069302
                    122,                 2.5714,                 2.2006,                 2.9613,                0.38646,                0.16527,                0.10865,                0.04231,                 2.6867,                 2.6504,                 3.4014,             0.00069122,             0.00069122,             0.00069122
                    123,                  2.739,                 2.2803,                 3.0398,                0.38646,                0.16527,                0.10865,                0.04231,                 2.6867,                 2.6504,                 3.4014,             0.00068942,             0.00068942,             0.00068942
                    124,                 2.6291,                 2.4451,                 2.9036,                0.60899,                0.21131,                 0.1799,                0.07757,                 2.6505,                 2.5613,                 3.7735,             0.00068762,             0.00068762,             0.00068762
                    125,                 2.9518,                 2.1514,                 2.9607,                0.60899,                0.21131,                 0.1799,                0.07757,                 2.6505,                 2.5613,                 3.7735,             0.00068582,             0.00068582,             0.00068582
                    126,                  2.569,                 2.3849,                 2.9968,                0.60899,                0.21131,                 0.1799,                0.07757,                 2.6505,                 2.5613,                 3.7735,             0.00068402,             0.00068402,             0.00068402
                    127,                 2.7742,                 2.1644,                 2.9538,                0.60899,                0.21131,                 0.1799,                0.07757,                 2.6505,                 2.5613,                 3.7735,             0.00068222,             0.00068222,             0.00068222
                    128,                 2.6713,                 2.1846,                  2.947,                0.75217,                0.14873,                0.22876,                0.11197,                 2.6962,                 3.0379,                 4.4189,             0.00068042,             0.00068042,             0.00068042
                    129,                 2.8461,                 2.2355,                 2.9012,                0.75217,                0.14873,                0.22876,                0.11197,                 2.6962,                 3.0379,                 4.4189,             0.00067862,             0.00067862,             0.00067862
                    130,                 2.6137,                 2.2723,                 2.8718,                0.75217,                0.14873,                0.22876,                0.11197,                 2.6962,                 3.0379,                 4.4189,             0.00067682,             0.00067682,             0.00067682
                    131,                 2.7959,                 2.3155,                 3.1171,                0.75217,                0.14873,                0.22876,                0.11197,                 2.6962,                 3.0379,                 4.4189,             0.00067502,             0.00067502,             0.00067502
                    132,                 2.6832,                 2.3582,                 2.9748,                0.78297,                0.15263,                0.20674,                0.08547,                 2.5112,                 21.968,                 5.5816,             0.00067322,             0.00067322,             0.00067322
                    133,                 2.6489,                 2.4178,                 3.0338,                0.78297,                0.15263,                0.20674,                0.08547,                 2.5112,                 21.968,                 5.5816,             0.00067142,             0.00067142,             0.00067142
                    134,                 2.4329,                 2.3147,                 2.8101,                0.78297,                0.15263,                0.20674,                0.08547,                 2.5112,                 21.968,                 5.5816,             0.00066962,             0.00066962,             0.00066962
                    135,                  2.472,                 2.4071,                 2.9169,                0.78297,                0.15263,                0.20674,                0.08547,                 2.5112,                 21.968,                 5.5816,             0.00066782,             0.00066782,             0.00066782
                    136,                 2.6051,                 2.4333,                 2.9839,                0.55252,                0.20536,                0.15638,                0.06984,                 2.6341,                 29.911,                 4.0625,             0.00066602,             0.00066602,             0.00066602
                    137,                 2.4249,                 2.1487,                 2.8247,                0.55252,                0.20536,                0.15638,                0.06984,                 2.6341,                 29.911,                 4.0625,             0.00066422,             0.00066422,             0.00066422
                    138,                 2.6093,                 2.1855,                  2.811,                0.55252,                0.20536,                0.15638,                0.06984,                 2.6341,                 29.911,                 4.0625,             0.00066242,             0.00066242,             0.00066242
                    139,                 2.5754,                 2.3763,                 2.9001,                0.55252,                0.20536,                0.15638,                0.06984,                 2.6341,                 29.911,                 4.0625,             0.00066062,             0.00066062,             0.00066062
                    140,                 2.5065,                 2.4221,                 2.9279,                0.53266,                0.22619,                0.19723,                0.08582,                 2.7581,                 29.503,                 3.8258,             0.00065883,             0.00065883,             0.00065883
                    141,                 2.5258,                  2.307,                 2.8918,                0.53266,                0.22619,                0.19723,                0.08582,                 2.7581,                 29.503,                 3.8258,             0.00065703,             0.00065703,             0.00065703
                    142,                 2.4864,                  2.316,                 2.8542,                0.53266,                0.22619,                0.19723,                0.08582,                 2.7581,                 29.503,                 3.8258,             0.00065523,             0.00065523,             0.00065523
                    143,                 2.5493,                 2.3412,                 2.9153,                0.53266,                0.22619,                0.19723,                0.08582,                 2.7581,                 29.503,                 3.8258,             0.00065343,             0.00065343,             0.00065343
                    144,                 2.6722,                 2.3473,                 2.9725,                0.42959,                0.25505,                 0.1989,                0.09051,                 2.6406,                 16.764,                 3.4548,             0.00065163,             0.00065163,             0.00065163
                    145,                 2.4703,                 2.1679,                 2.8224,                0.42959,                0.25505,                 0.1989,                0.09051,                 2.6406,                 16.764,                 3.4548,             0.00064983,             0.00064983,             0.00064983
                    146,                 2.3242,                 2.2331,                 2.7864,                0.42959,                0.25505,                 0.1989,                0.09051,                 2.6406,                 16.764,                 3.4548,             0.00064803,             0.00064803,             0.00064803
                    147,                 2.6002,                 2.3756,                 2.8817,                0.42959,                0.25505,                 0.1989,                0.09051,                 2.6406,                 16.764,                 3.4548,             0.00064623,             0.00064623,             0.00064623
                    148,                 2.3838,                 2.3603,                 2.8864,                0.53023,                0.19107,                0.20021,                0.08357,                 2.5335,                 4.0922,                 3.1549,             0.00064443,             0.00064443,             0.00064443
